MONEY,$2 to $5 000
MONEY,supermalevitality
WORK_OF_ART,gangnam style
WORK_OF_ART,alt right
LANGUAGE,english
LANGUAGE,english
QUANTITY,4 miles
LANGUAGE,english
MONEY,imnotamuslim
LAW,the "johnson act'
LAW,full 1st amendment
LAW,the keystone pipeline
WORK_OF_ART,the same
LOC,europe
LOC,europe
MONEY,trumpalltheway
LOC,europe
PRODUCT,mocs
MONEY,bazinga
EVENT,the battle of the san fernando valley
LOC,europe
MONEY,dicksout
WORK_OF_ART,build a waaaaall
LOC,europe
FAC,make america great
FAC,the white house
FAC,super male virility
MONEY,dangeroushillary
LOC,asia
LOC,east europe
FAC,guantanamo
QUANTITY,3 inch barrel
LOC,europe
LAW,chapter 11
LAW,chapter 11
MONEY,$$$
WORK_OF_ART,fucktards unite
QUANTITY,over 2000 miles
PRODUCT,merry christmas
MONEY,#crookedhillary #
MONEY,trumplandslide2016
MONEY,#presidenttrump #
QUANTITY,10 meters
LOC,europe
LAW,constitution
WORK_OF_ART,never trump
PRODUCT,jessica
PRODUCT,trumpcare
LOC,earth
LOC,uranium
LOC,earth
LOC,the new testament
FAC,the white house
WORK_OF_ART,please
WORK_OF_ART,clap
QUANTITY,5 yards
WORK_OF_ART,hahahaha
EVENT,current year
LAW,the "
LAW,sharia
FAC,oligarchy
MONEY,#1
EVENT,a war for
EVENT,wwii
EVENT,wwii
WORK_OF_ART,latino
MONEY,20 trillion
MONEY,laurasilsby
EVENT,twitter
LOC,europe
LOC,europe
WORK_OF_ART,the white stripes
MONEY,makejpopgreatagain
LOC,europe
MONEY,harmambe
FAC,the northern territory
WORK_OF_ART,trump "
WORK_OF_ART,execute order 66."~donald trump
LOC,earth
QUANTITY,400 pound
LAW,rambo 2
LOC,europe
EVENT,kaitlyn gaumer
PRODUCT,apache
QUANTITY,10 feet
QUANTITY,10 feet
PRODUCT,
MONEY,75 dollars
FAC,msp
MONEY,tens of billions of dollars
WORK_OF_ART,hahahaha
WORK_OF_ART,stalin hates you
MONEY,norberthofer
LOC,drumpf
